oCounty,OriginX,OriginY,DepartTime,TripNodeCount,TripNode1:,DestX1,DestY1,Riders1,TripNode2:,DestX2,DestY2,Riders2,TripNode3:,DestX3,DestY3,Riders3,TotalRiders,vehicleMiles,tripMiles,AVO,VehTourEndCounty,VehTourEnd_xPixel,VehTourEnd_yPixel,VehTourEnd_Time
WES,200.0,294.0,22355.6,3,1,170.0,289.0,1,2,157.0,275.0,1,3,141.0,242.0,1,3,51.7,93.6,1.8,UNI-2,141.0,242.0,28561.5,
WES,200.0,294.0,22371.1,3,1,162.0,277.0,1,2,147.0,282.0,1,3,138.0,288.0,1,3,41.0,95.0,2.3,MOR-3,138.0,288.0,27285.6,
WES,200.0,294.0,22374.7,3,1,157.0,304.0,1,2,127.0,278.0,1,3,68.0,278.0,1,3,85.7,151.1,1.8,WAR,68.0,278.0,32659.7,
WES,200.0,294.0,22396.2,3,1,169.0,274.0,2,2,138.0,270.0,1,3,136.0,241.0,1,4,58.3,134.0,2.3,UNI-2,136.0,241.0,29395.9,
WES,200.0,294.0,22408.0,3,1,147.0,268.0,1,2,146.0,261.0,1,3,123.0,226.0,1,3,64.8,135.0,2.1,MID-3,123.0,226.0,30183.0,
WES,200.0,294.0,22419.9,3,1,175.0,283.0,1,2,160.0,281.0,1,3,152.0,254.0,1,3,42.4,79.1,1.9,ESS-3,152.0,254.0,27503.6,
WES,200.0,294.0,22434.7,3,1,154.0,268.0,1,2,123.0,233.0,1,3,116.0,229.0,1,3,64.6,154.4,2.4,SOM-1,116.0,229.0,30185.9,
WES,200.0,294.0,22443.6,3,1,162.0,281.0,1,2,159.0,208.0,1,3,140.0,194.0,1,3,82.1,151.2,1.8,MON-2,140.0,194.0,32295.0,
WES,200.0,294.0,22452.3,3,1,133.0,261.0,1,2,125.0,238.0,1,3,121.0,216.0,1,3,72.8,167.6,2.3,MID-2,121.0,216.0,31193.0,
WES,200.0,294.0,22472.7,3,1,179.0,274.0,1,2,165.0,251.0,1,3,170.0,251.0,1,3,36.6,82.1,2.2,HUD-1,170.0,251.0,26859.3,
WES,200.0,294.0,22487.1,3,1,147.0,274.0,1,2,129.0,277.0,1,3,120.0,262.0,1,3,55.4,129.5,2.3,MOR-1,120.0,262.0,29139.1,
WES,200.0,294.0,22515.1,3,1,166.0,260.0,1,2,155.0,253.0,2,3,131.0,239.0,1,4,53.3,154.8,2.9,UNI-1,131.0,239.0,28916.4,
